i,Time,Data
1244,24.88,65480.0
1245,24.9,65492.0
1246,24.92,68.0
1247,24.94,62.0
1248,24.96,61.0
1249,24.98,65472.0
1250,25.0,65492.0
1251,25.02,68.0
1252,25.04,60.0
1253,25.06,61.0
1254,25.08,65464.0
1255,25.1,65472.0
1256,25.12,67.0
1257,25.14,62.0
1258,25.16,60.0
1259,25.18,65472.0
1260,25.2,65480.0
1261,25.22,67.0
1262,25.24,62.0
1263,25.26,61.0
1264,25.28,65484.0
1265,25.3,65492.0
1266,25.32,67.0
1267,25.34,62.0
1268,25.36,60.0
1269,25.38,65472.0
1270,25.4,65480.0
1271,25.42,65.0
1272,25.44,62.0
1273,25.46,61.0
1274,25.48,65480.0
1275,25.5,65476.0
1276,25.52,69.0
1277,25.54,60.0
1278,25.56,60.0
1279,25.58,65472.0
1280,25.6,65480.0
1281,25.62,66.0
1282,25.64,62.0
1283,25.66,61.0
1284,25.68,65480.0
1285,25.7,65472.0
1286,25.72,65.0
1287,25.74,61.0
1288,25.76,61.0
1289,25.78,65472.0
1290,25.8,65480.0
1291,25.82,65.0
1292,25.84,61.0
1293,25.86,61.0
1294,25.88,65472.0
1295,25.9,65472.0
1296,25.92,67.0
1297,25.94,62.0
1298,25.96,65456.0
1299,25.98,65484.0
1300,26.0,65464.0
1301,26.02,68.0
